Time(s),Flow(m3/s)
0.00E+00,0.533905753
1.20E+02,0.593689565
2.40E+02,0.684325839
3.60E+02,0.747744639
4.80E+02,0.784452813
6.00E+02,0.80829607
7.20E+02,0.825960545
8.40E+02,0.840530639
9.60E+02,0.853494451
1.08E+03,0.865609132
1.20E+03,0.877279143
1.32E+03,0.888729857
1.44E+03,0.90009147
1.56E+03,0.911441571
1.68E+03,0.922827678
1.80E+03,0.934279619
1.92E+03,0.945816568
2.04E+03,0.957451143
2.16E+03,0.969191857
2.28E+03,0.981044611
2.40E+03,0.993013624
2.52E+03,1.005102016
2.64E+03,1.017312181
2.76E+03,1.029646029
2.88E+03,1.042105146
3.00E+03,1.054690894
3.12E+03,1.067404488
3.24E+03,1.080247033
3.36E+03,1.093219565
3.48E+03,1.106323067
3.60E+03,1.119558486
3.72E+03,1.132926743
3.84E+03,1.146428737
3.96E+03,1.160065357
4.08E+03,1.173837478
4.20E+03,1.187745966
4.32E+03,1.201791684
4.44E+03,1.215975486
4.56E+03,1.230298221
4.68E+03,1.244760738
4.80E+03,1.259363878
4.92E+03,1.274108482
5.04E+03,1.288995386
5.16E+03,1.304025424
5.28E+03,1.319199429
5.40E+03,1.33451823
5.52E+03,1.349982654
5.64E+03,1.365593528
5.76E+03,1.381351674
5.88E+03,1.397257916
6.00E+03,1.413313075
6.12E+03,1.429517971
6.24E+03,1.431450135
6.36E+03,1.415340068
6.48E+03,1.392867985
6.60E+03,1.367479489
6.72E+03,1.340673804
6.84E+03,1.313203142
6.96E+03,1.285484301
7.08E+03,1.257765548
7.20E+03,1.230202831
7.32E+03,1.202897956
7.44E+03,1.175919195
7.56E+03,1.149313089
7.68E+03,1.123111582
7.80E+03,1.097336507
7.92E+03,1.072002527
8.04E+03,1.047119119
8.16E+03,1.022691948
8.28E+03,0.998723841
8.40E+03,0.975215493
8.52E+03,0.952165983
8.64E+03,0.929573152
8.76E+03,0.907433893
8.88E+03,0.885744364
9.00E+03,0.864500151
9.12E+03,0.843696386
9.24E+03,0.827733897
9.36E+03,0.819767101
9.48E+03,0.815163059
9.60E+03,0.812433221
9.72E+03,0.810780791
9.84E+03,0.809762401
9.96E+03,0.809124826
1.01E+04,0.808720159
1.02E+04,0.80846024
1.03E+04,0.80829156
1.04E+04,0.808181106
1.06E+04,0.808108214
1.07E+04,0.808059785
1.08E+04,0.808027419
1.09E+04,0.808005676
1.10E+04,0.807991005
1.12E+04,0.807981066
1.13E+04,0.80797431
1.14E+04,0.807969704
1.15E+04,0.807966554
1.16E+04,0.807964396
1.18E+04,0.807962914
1.19E+04,0.807961895
1.20E+04,0.807961192
