Time(s),Depth(m)
0.00E+00,0.4
1.20E+02,0.428400076
2.40E+02,0.468654385
3.60E+02,0.502648496
4.80E+02,0.525132902
6.00E+02,0.540417507
7.20E+02,0.551566697
8.40E+02,0.560332075
9.60E+02,0.567702084
1.08E+03,0.574245576
1.20E+03,0.580297606
1.32E+03,0.586059664
1.44E+03,0.591655052
1.56E+03,0.597160327
1.68E+03,0.602623586
1.80E+03,0.608075357
1.92E+03,0.613535182
2.04E+03,0.61901567
2.16E+03,0.624525026
2.28E+03,0.630068634
2.40E+03,0.635650062
2.52E+03,0.64127171
2.64E+03,0.646935215
2.76E+03,0.652641722
2.88E+03,0.658392052
3.00E+03,0.664186816
3.12E+03,0.670026485
3.24E+03,0.675911439
3.36E+03,0.681841998
3.48E+03,0.687818439
3.60E+03,0.693841014
3.72E+03,0.699909955
3.84E+03,0.706025483
3.96E+03,0.712187808
4.08E+03,0.718397135
4.20E+03,0.724653663
4.32E+03,0.730957588
4.44E+03,0.737309102
4.56E+03,0.743708397
4.68E+03,0.750155662
4.80E+03,0.756651082
4.92E+03,0.763194844
5.04E+03,0.769787133
5.16E+03,0.77642813
5.28E+03,0.783118019
5.40E+03,0.789856981
5.52E+03,0.796645197
5.64E+03,0.803482847
5.76E+03,0.81037011
5.88E+03,0.817307167
6.00E+03,0.824294196
6.12E+03,0.831331377
6.24E+03,0.835193362
6.36E+03,0.832526679
6.48E+03,0.825945357
6.60E+03,0.81698036
6.72E+03,0.806544636
6.84E+03,0.795202489
6.96E+03,0.783314363
7.08E+03,0.771116203
7.20E+03,0.758765084
7.32E+03,0.746366728
7.44E+03,0.733992742
7.56E+03,0.72169177
7.68E+03,0.709496851
7.80E+03,0.697430363
7.92E+03,0.685507363
8.04E+03,0.673737874
8.16E+03,0.662128445
8.28E+03,0.650683223
8.40E+03,0.639404692
8.52E+03,0.628294178
8.64E+03,0.617352196
8.76E+03,0.606578692
8.88E+03,0.595973201
9.00E+03,0.585534969
9.12E+03,0.575263016
9.24E+03,0.566309225
9.36E+03,0.560660697
9.48E+03,0.557077459
9.60E+03,0.554815904
9.72E+03,0.553389586
9.84E+03,0.552488568
9.96E+03,0.551917885
1.01E+04,0.55155538
1.02E+04,0.551324473
1.03E+04,0.551177023
1.04E+04,0.551082664
1.06E+04,0.55102217
1.07E+04,0.55098333
1.08E+04,0.550958362
1.09E+04,0.550942296
1.10E+04,0.55093195
1.12E+04,0.550925283
1.13E+04,0.550920985
1.14E+04,0.550918213
1.15E+04,0.550916425
1.16E+04,0.550915271
1.18E+04,0.550914526
1.19E+04,0.550914045
1.20E+04,0.550913735
