time,distance,h_error,Q_error,h_true,h_pred,Q_true,Q_pred
0.0,0.0,0.00027185678,0.00026541948,0.4,0.40027186,0.86759686,0.86733145
0.0,100.0,0.00019004941,0.0010700822,0.4,0.40019006,0.7711972,0.7722673
0.0,200.0,9.563565e-05,0.00026756525,0.4,0.40009564,0.6940775,0.6938099
0.0,300.0,2.1725893e-05,0.0006559491,0.4,0.39997828,0.63097954,0.6303236
0.0,400.0,0.00022679567,0.0006085634,0.4,0.3997732,0.57839787,0.5777893
0.0,500.0,0.0004811883,0.00084728,0.4,0.39951882,0.53390574,0.53305846
0.0,600.0,0.0005887747,0.0012060106,0.4,0.39941123,0.49576962,0.4945636
0.0,700.0,0.0005529523,0.0016121268,0.4,0.39944705,0.4627183,0.46110618
0.0,800.0,0.0005861819,0.0011858344,0.4,0.39941382,0.43379843,0.4326126
0.0,900.0,0.000913918,0.0016245842,0.4,0.3990861,0.43379843,0.43217385
0.0,1000.0,0.0008236468,0.0012646317,0.4,0.39917636,0.43379843,0.4325338
0.0,1100.0,0.0008921921,0.002177775,0.4,0.3991078,0.43379843,0.43162066
0.0,1200.0,0.0009737313,0.0013341904,0.4,0.39902627,0.43379843,0.43246424
0.0,1300.0,0.0010055006,0.0020992756,0.4,0.3989945,0.44779193,0.44569266
0.0,1400.0,0.00092452765,0.001186192,0.4,0.39907548,0.4627183,0.46153212
0.0,1500.0,0.0008801818,0.0021089911,0.4,0.39911982,0.4786741,0.47656512
0.0,1600.0,0.000839144,0.0022207797,0.4,0.39916086,0.49576962,0.49354884
0.0,1700.0,0.0007966459,0.0016572475,0.4,0.39920336,0.5141315,0.51247424
0.0,1800.0,0.00073364377,0.0011563897,0.4,0.39926636,0.53390574,0.53274935
0.0,1900.0,0.000697881,0.001590848,0.4,0.39930212,0.55526197,0.5536711
0.0,2000.0,0.00063860416,0.0014881492,0.4,0.3993614,0.5759979,0.57450974
10.0,0.0,0.00028815866,0.0103805065,0.400294,0.40058216,0.85465235,0.86503285
10.0,100.0,0.0030451417,0.0073519945,0.40436667,0.40132153,0.78058237,0.7732304
10.0,200.0,0.0015100837,0.0035347939,0.4035241,0.40201402,0.70093113,0.69739634
10.0,300.0,0.00033539534,0.00034046173,0.40290475,0.40256935,0.6361423,0.63580185
10.0,400.0,0.00039935112,0.0019791722,0.40243587,0.40283522,0.582387,0.58436614
10.0,500.0,0.0007326305,0.0029318333,0.40207228,0.4028049,0.53705394,0.5399858
10.0,600.0,0.0009010136,0.0029494166,0.4017846,0.4026856,0.4982993,0.5012487
10.0,700.0,0.0009716749,0.0023947954,0.4015527,0.40252438,0.46478352,0.46717831
10.0,800.0,0.0013553202,0.0009211004,0.40081307,0.4021684,0.43697745,0.43789855
10.0,900.0,0.0012205243,0.002420932,0.39999965,0.40122017,0.43379682,0.43621776
10.0,1000.0,0.00067558885,0.0016139746,0.4,0.4006756,0.43379843,0.4354124
10.0,1100.0,2.2292137e-05,0.00033205748,0.39999986,0.40002215,0.43379888,0.43346682
10.0,1200.0,0.00028339028,0.0010721087,0.39972138,0.399438,0.43454194,0.43346983
10.0,1300.0,0.00026398897,0.00088748336,0.3992798,0.3990158,0.44690606,0.44601858
10.0,1400.0,0.0004695654,0.0005453527,0.39923134,0.39876178,0.46174476,0.4611994
10.0,1500.0,0.0006528199,0.0019585788,0.39917758,0.39852476,0.4775997,0.47564113
10.0,1600.0,0.00076147914,0.0024349093,0.399118,0.39835653,0.4945798,0.49214488
10.0,1700.0,0.0007916689,0.0021002293,0.39905173,0.39826006,0.51280886,0.51070863
10.0,1800.0,0.00073072314,0.0016910434,0.3989777,0.39824697,0.5324296,0.53073853
10.0,1900.0,0.0006389618,0.0020933151,0.39889467,0.3982557,0.5536073,0.55151397
10.0,2000.0,0.00049999356,0.004166901,0.39882356,0.39832357,0.5764537,0.5722868
20.0,0.0,0.00029805303,0.016753614,0.4005882,0.40088627,0.84621567,0.8629693
20.0,100.0,0.0064968467,0.017965615,0.40889937,0.40240252,0.79216737,0.77420175
20.0,200.0,0.0033231974,0.008589685,0.40716425,0.40384105,0.70941085,0.70082116
20.0,300.0,0.00085267425,0.0015133619,0.40588862,0.40503594,0.6425205,0.6410071
20.0,400.0,0.0008228421,0.00330168,0.4049276,0.40575045,0.58731127,0.59061295
20.0,500.0,0.0017492771,0.005630672,0.4041852,0.40593448,0.5409386,0.5465693
20.0,600.0,0.0022059977,0.006186664,0.40359947,0.40580547,0.5014199,0.50760657
20.0,700.0,0.0023294687,0.005626738,0.40312853,0.405458,0.46733016,0.4729569
20.0,800.0,0.0030875206,0.0031184554,0.4017091,0.40479663,0.43981415,0.4429326
20.0,900.0,0.0032573938,0.006274998,0.3999991,0.4032565,0.43379468,0.44006968
20.0,1000.0,0.0021081567,0.00436306,0.4,0.40210816,0.4337984,0.43816146
20.0,1100.0,0.0009007454,0.0014434159,0.39999974,0.40090048,0.43379918,0.4352426
20.0,1200.0,0.00036910176,0.0004621446,0.39947164,0.39984074,0.43491828,0.43445614
20.0,1300.0,0.00048446655,0.0004955232,0.398564,0.39904848,0.44587195,0.44636747
20.0,1400.0,8.374453e-06,0.00031793118,0.39846775,0.39847612,0.460611,0.46092892
20.0,1500.0,0.0003902018,0.0015392303,0.398361,0.3979708,0.47635168,0.47481245
20.0,1600.0,0.0006406605,0.0023424923,0.39824268,0.39760202,0.4932014,0.4908589
20.0,1700.0,0.00074112415,0.0022069812,0.39811113,0.39737,0.51128113,0.50907415
20.0,1800.0,0.0006842911,0.0018681884,0.39796427,0.39727998,0.5307299,0.5288617
